,frame.time_epoch,frame.len,eth.src,eth.dst,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,arp.opcode,arp.src.hw_mac,arp.src.proto_ipv4,arp.dst.hw_mac,arp.dst.proto_ipv4,ipv6.src,ipv6.dst,output
357039,1540451872.3083134,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,175,0,0,1
15385,1540446933.5245662,74,1,8,21,65,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0,0,0,0,0,1
102759,1540450147.8947024,102,4,14,18,29,50389.0,80.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1
52726,1540448321.521684,74,8,7,8,59,49138.0,80.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
169569,1540451089.633971,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,51,0,0,1
706205,1540453285.5452619,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,180,0,0,1
26018,1540447329.106889,86,3,7,20,54,0.0,0.0,1360.0,53.0,0.0,0.0,0.0,0,0,0,0,0,0,1
491966,1540452418.545442,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,84,0,0,1
605707,1540452879.784878,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,68,0,0,1
413994,1540452103.1235662,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,35,0,0,1
522094,1540452541.0567632,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,179,0,0,1
191193,1540451201.9810774,60,9,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,4,167,0,0,1
236842,1540451386.095722,60,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,9,4,105,0,0,1
